oid,kod KTS,powiat,powierzchnia,rok,TERYT,Typ powiatu,TERYT województwa,Województwo,Dochody na 1 mieszkańca|gminy łącznie z miastami na prawach powiatu|ogółem
201,031613101000,brzeski,876.0,2020,1601,powiat,16,opolskie,5220.68
202,031613102000,głubczycki,673.0,2020,1602,powiat,16,opolskie,5168.19
203,031613106000,namysłowski,748.0,2020,1606,powiat,16,opolskie,5385.47
204,031613107000,nyski,1224.0,2020,1607,powiat,16,opolskie,5489.0
205,031613110000,prudnicki,572.0,2020,1610,powiat,16,opolskie,5108.35
206,031613203000,kędzierzyńsko-kozielski,625.0,2020,1603,powiat,16,opolskie,5194.51
207,031613204000,kluczborski,852.0,2020,1604,powiat,16,opolskie,5268.08
208,031613205000,krapkowicki,442.0,2020,1605,powiat,16,opolskie,5481.81
55,052615210000,skarżyski,395.0,2020,2610,powiat,26,świętokrzyskie,4957.36
209,031613208000,oleski,973.0,2020,1608,powiat,16,opolskie,5128.96
31,060611020000,zamojski,1870.0,2020,0620,powiat,06,lubelskie,5144.25
298,060611062000,Chełm,35.0,2020,0662,miasto na prawach powiatu,06,lubelskie,8225.53
211,031613211000,strzelecki,744.0,2020,1611,powiat,16,opolskie,5069.37
212,031613261000,Opole,149.0,2020,1661,miasto na prawach powiatu,16,opolskie,10074.52
8,040410615000,toruński,1230.0,2020,0415,powiat,04,kujawsko-pomorskie,5870.86
214,040410702000,brodnicki,1040.0,2020,0402,powiat,04,kujawsko-pomorskie,5774.97
215,040410705000,golubsko-dobrzyński,613.0,2020,0405,powiat,04,kujawsko-pomorskie,5612.94
57,062013761000,Białystok,102.0,2020,2061,miasto na prawach powiatu,20,podlaskie,7585.81
216,040410706000,grudziądzki,728.0,2020,0406,powiat,04,kujawsko-pomorskie,6251.18
58,062013963000,Suwałki,66.0,2020,2063,miasto na prawach powiatu,20,podlaskie,7339.91
217,040410712000,rypiński,586.0,2020,0412,powiat,04,kujawsko-pomorskie,5878.03
218,040410717000,wąbrzeski,502.0,2020,0417,powiat,04,kujawsko-pomorskie,5738.57
66,040410762000,Grudziądz,58.0,2020,0462,miasto na prawach powiatu,04,kujawsko-pomorskie,7119.7
219,040410808000,lipnowski,1016.0,2020,0408,powiat,04,kujawsko-pomorskie,5990.05
220,040410811000,radziejowski,607.0,2020,0411,powiat,04,kujawsko-pomorskie,5664.47
221,040410864000,Włocławek,84.0,2020,0464,miasto na prawach powiatu,04,kujawsko-pomorskie,7343.71
222,040416707000,inowrocławski,1225.0,2020,0407,powiat,04,kujawsko-pomorskie,5469.95
223,040416709000,mogileński,675.0,2020,0409,powiat,04,kujawsko-pomorskie,5742.46
224,040416710000,nakielski,1120.0,2020,0410,powiat,04,kujawsko-pomorskie,5756.18
225,040416719000,żniński,985.0,2020,0419,powiat,04,kujawsko-pomorskie,5680.96
226,040416813000,sępoleński,791.0,2020,0413,powiat,04,kujawsko-pomorskie,5582.38
227,040416814000,świecki,1474.0,2020,0414,powiat,04,kujawsko-pomorskie,6367.63
228,040416816000,tucholski,1075.0,2020,0416,powiat,04,kujawsko-pomorskie,6024.93
229,042214004000,gdański,794.0,2020,2204,powiat,22,pomorskie,6430.33
230,042214005000,kartuski,1121.0,2020,2205,powiat,22,pomorskie,6739.77
231,042214011000,pucki,581.0,2020,2211,powiat,22,pomorskie,7258.31
232,042214015000,wejherowski,1285.0,2020,2215,powiat,22,pomorskie,5969.13
22,042214101000,bytowski,2192.0,2020,2201,powiat,22,pomorskie,6441.5
233,042214108000,lęborski,708.0,2020,2208,powiat,22,pomorskie,6904.18
23,042214112000,słupski,2304.0,2020,2212,powiat,22,pomorskie,7122.76
235,042214207000,kwidzyński,835.0,2020,2207,powiat,22,pomorskie,5717.92
236,042214209000,malborski,494.0,2020,2209,powiat,22,pomorskie,5338.47
237,042214213000,starogardzki,1345.0,2020,2213,powiat,22,pomorskie,6085.97
238,042214214000,tczewski,697.0,2020,2214,powiat,22,pomorskie,5728.64
239,042214216000,sztumski,731.0,2020,2216,powiat,22,pomorskie,5731.95
241,042217203000,człuchowski,1575.0,2020,2203,powiat,22,pomorskie,6269.86
243,042217206000,kościerski,1166.0,2020,2206,powiat,22,pomorskie,6668.77
244,042815402000,braniewski,1202.0,2020,2802,powiat,28,warmińsko-mazurskie,5874.7
245,042815403000,działdowski,954.0,2020,2803,powiat,28,warmińsko-mazurskie,5634.54
246,042815404000,elbląski,1416.0,2020,2804,powiat,28,warmińsko-mazurskie,5884.92
247,042815407000,iławski,1385.0,2020,2807,powiat,28,warmińsko-mazurskie,5924.13
248,042815412000,nowomiejski,694.0,2020,2812,powiat,28,warmińsko-mazurskie,6318.08
24,042815415000,ostródzki,1766.0,2020,2815,powiat,28,warmińsko-mazurskie,5555.26
249,042815461000,Elbląg,80.0,2020,2861,miasto na prawach powiatu,28,warmińsko-mazurskie,6271.12
250,042815505000,ełcki,1113.0,2020,2805,powiat,28,warmińsko-mazurskie,5721.16
251,042815506000,giżycki,1120.0,2020,2806,powiat,28,warmińsko-mazurskie,5938.33
252,042815513000,olecki,874.0,2020,2813,powiat,28,warmińsko-mazurskie,5897.2
253,042815516000,piski,1775.0,2020,2816,powiat,28,warmińsko-mazurskie,5523.21
254,042815601000,bartoszycki,1307.0,2020,2801,powiat,28,warmińsko-mazurskie,5905.78
255,042815608000,kętrzyński,1213.0,2020,2808,powiat,28,warmińsko-mazurskie,5645.25
256,042815609000,lidzbarski,925.0,2020,2809,powiat,28,warmińsko-mazurskie,6044.0
257,042815610000,mrągowski,1065.0,2020,2810,powiat,28,warmińsko-mazurskie,5918.85
258,042815611000,nidzicki,961.0,2020,2811,powiat,28,warmińsko-mazurskie,6045.79
25,042815614000,olsztyński,2837.0,2020,2814,powiat,28,warmińsko-mazurskie,6259.16
259,042815617000,szczycieński,1933.0,2020,2817,powiat,28,warmińsko-mazurskie,5883.57
261,051011506000,łódzki wschodni,500.0,2020,1006,powiat,10,łódzkie,5878.03
262,051011508000,pabianicki,492.0,2020,1008,powiat,10,łódzkie,5207.02
263,051011520000,zgierski,855.0,2020,1020,powiat,10,łódzkie,5486.43
264,051011521000,brzeziński,359.0,2020,1021,powiat,10,łódzkie,5434.93
265,051011661000,Łódź,293.0,2020,1061,miasto na prawach powiatu,10,łódzkie,7263.0
266,051011701000,bełchatowski,968.0,2020,1001,powiat,10,łódzkie,7724.21
267,051011707000,opoczyński,1040.0,2020,1007,powiat,10,łódzkie,5296.66
26,051011710000,piotrkowski,1429.0,2020,1010,powiat,10,łódzkie,5652.33
27,051011712000,radomszczański,1443.0,2020,1012,powiat,10,łódzkie,5579.85
268,051011716000,tomaszowski,1025.0,2020,1016,powiat,10,łódzkie,5806.86
269,051011762000,Piotrków Trybunalski,67.0,2020,1062,miasto na prawach powiatu,10,łódzkie,7530.16
270,051011803000,łaski,618.0,2020,1003,powiat,10,łódzkie,4941.98
271,051011809000,pajęczański,804.0,2020,1009,powiat,10,łódzkie,6447.45
272,051011811000,poddębicki,881.0,2020,1011,powiat,10,łódzkie,6732.7
273,051011814000,sieradzki,1491.0,2020,1014,powiat,10,łódzkie,5252.56
274,051011817000,wieluński,926.0,2020,1017,powiat,10,łódzkie,5349.74
275,051011818000,wieruszowski,577.0,2020,1018,powiat,10,łódzkie,5427.32
276,051011902000,kutnowski,887.0,2020,1002,powiat,10,łódzkie,5603.84
277,051011904000,łęczycki,773.0,2020,1004,powiat,10,łódzkie,5674.56
278,051011905000,łowicki,988.0,2020,1005,powiat,10,łódzkie,5869.13
279,051011913000,rawski,646.0,2020,1013,powiat,10,łódzkie,5763.0
280,051011915000,skierniewicki,753.0,2020,1015,powiat,10,łódzkie,6294.84
18,052615204000,kielecki,2246.0,2020,2604,powiat,26,świętokrzyskie,6110.9
281,052615205000,konecki,1139.0,2020,2605,powiat,26,świętokrzyskie,5502.37
282,052615207000,ostrowiecki,617.0,2020,2607,powiat,26,świętokrzyskie,4902.1
283,052615211000,starachowicki,523.0,2020,2611,powiat,26,świętokrzyskie,5628.0
284,052615261000,Kielce,110.0,2020,2661,miasto na prawach powiatu,26,świętokrzyskie,8055.07
285,052615301000,buski,968.0,2020,2601,powiat,26,świętokrzyskie,5643.11
286,052615302000,jędrzejowski,1257.0,2020,2602,powiat,26,świętokrzyskie,5517.06
287,052615303000,kazimierski,422.0,2020,2603,powiat,26,świętokrzyskie,5404.31
346,071412865000,Warszawa,517.0,2020,1465,"miasto stołeczne, na prawach powiatu",14,mazowieckie,9970.89
288,052615306000,opatowski,911.0,2020,2606,powiat,26,świętokrzyskie,5605.13
289,052615308000,pińczowski,613.0,2020,2608,powiat,26,świętokrzyskie,5165.5
290,052615309000,sandomierski,676.0,2020,2609,powiat,26,świętokrzyskie,5575.22
347,071412908000,legionowski,391.0,2020,1408,powiat,14,mazowieckie,6234.27
291,052615312000,staszowski,925.0,2020,2612,powiat,26,świętokrzyskie,5686.89
11,071427164000,Siedlce,32.0,2020,1464,miasto na prawach powiatu,14,mazowieckie,7277.93
292,052615313000,włoszczowski,908.0,2020,2613,powiat,26,świętokrzyskie,5431.23
32,060610901000,bialski,2754.0,2020,0601,powiat,06,lubelskie,5875.98
12,071427306000,grójecki,1268.0,2020,1406,powiat,14,mazowieckie,5559.86
293,060610913000,parczewski,952.0,2020,0613,powiat,06,lubelskie,5436.12
294,060610915000,radzyński,965.0,2020,0615,powiat,06,lubelskie,5773.71
295,060610919000,włodawski,1256.0,2020,0619,powiat,06,lubelskie,5788.17
28,060611002000,biłgorajski,1681.0,2020,0602,powiat,06,lubelskie,5609.04
29,060611003000,chełmski,1886.0,2020,0603,powiat,06,lubelskie,5523.48
30,060611004000,hrubieszowski,1268.0,2020,0604,powiat,06,lubelskie,5153.83
296,060611006000,krasnostawski,1032.0,2020,0606,powiat,06,lubelskie,4943.47
297,060611018000,tomaszowski,1489.0,2020,0618,powiat,06,lubelskie,5577.95
300,060611108000,lubartowski,1289.0,2020,0608,powiat,06,lubelskie,6066.92
301,060611110000,łęczyński,637.0,2020,0610,powiat,06,lubelskie,6049.71
302,060611117000,świdnicki,468.0,2020,0617,powiat,06,lubelskie,5743.19
303,060611163000,Lublin,148.0,2020,0663,miasto na prawach powiatu,06,lubelskie,7136.45
304,060611205000,janowski,876.0,2020,0605,powiat,06,lubelskie,5431.78
305,060611207000,kraśnicki,1005.0,2020,0607,powiat,06,lubelskie,5188.38
306,060611211000,łukowski,1394.0,2020,0611,powiat,06,lubelskie,5808.3
307,060611212000,opolski,810.0,2020,0612,powiat,06,lubelskie,5649.62
308,060611214000,puławski,934.0,2020,0614,powiat,06,lubelskie,6422.53
309,060611216000,rycki,615.0,2020,0616,powiat,06,lubelskie,5815.18
310,061813301000,bieszczadzki,1139.0,2020,1801,powiat,18,podkarpackie,5760.56
311,061813302000,brzozowski,539.0,2020,1802,powiat,18,podkarpackie,5595.31
312,061813305000,jasielski,831.0,2020,1805,powiat,18,podkarpackie,5432.57
313,061813307000,krośnieński,993.0,2020,1807,powiat,18,podkarpackie,5804.7
314,061813317000,sanocki,1156.0,2020,1817,powiat,18,podkarpackie,5705.19
315,061813321000,leski,835.0,2020,1821,powiat,18,podkarpackie,7804.67
317,061813404000,jarosławski,1029.0,2020,1804,powiat,18,podkarpackie,5383.56
318,061813409000,lubaczowski,1308.0,2020,1809,powiat,18,podkarpackie,6087.75
319,061813413000,przemyski,1211.0,2020,1813,powiat,18,podkarpackie,5782.55
320,061813414000,przeworski,698.0,2020,1814,powiat,18,podkarpackie,5698.45
322,061813506000,kolbuszowski,774.0,2020,1806,powiat,18,podkarpackie,5580.37
323,061813510000,łańcucki,452.0,2020,1810,powiat,18,podkarpackie,5756.36
324,061813515000,ropczycko-sędziszowski,548.0,2020,1815,powiat,18,podkarpackie,5875.82
33,061813516000,rzeszowski,1147.0,2020,1816,powiat,18,podkarpackie,5866.14
325,061813519000,strzyżowski,504.0,2020,1819,powiat,18,podkarpackie,5315.83
326,061813563000,Rzeszów,126.0,2020,1863,miasto na prawach powiatu,18,podkarpackie,8414.61
327,061813603000,dębicki,777.0,2020,1803,powiat,18,podkarpackie,5375.05
328,061813608000,leżajski,584.0,2020,1808,powiat,18,podkarpackie,5471.58
329,061813611000,mielecki,881.0,2020,1811,powiat,18,podkarpackie,6063.01
330,061813612000,niżański,786.0,2020,1812,powiat,18,podkarpackie,6005.85
331,061813618000,stalowowolski,832.0,2020,1818,powiat,18,podkarpackie,5642.29
332,061813620000,tarnobrzeski,521.0,2020,1820,powiat,18,podkarpackie,5289.92
334,062013711000,sokólski,2055.0,2020,2011,powiat,20,podlaskie,5690.78
335,062013803000,bielski,1385.0,2020,2003,powiat,20,podlaskie,5569.81
336,062013805000,hajnowski,1624.0,2020,2005,powiat,20,podlaskie,5527.4
337,062013806000,kolneński,940.0,2020,2006,powiat,20,podlaskie,6544.64
338,062013810000,siemiatycki,1459.0,2020,2010,powiat,20,podlaskie,6063.65
339,062013813000,wysokomazowiecki,1289.0,2020,2013,powiat,20,podlaskie,6323.96
340,062013814000,zambrowski,733.0,2020,2014,powiat,20,podlaskie,5397.39
34,062013862000,Łomża,33.0,2020,2062,miasto na prawach powiatu,20,podlaskie,7551.31
341,062013901000,augustowski,1659.0,2020,2001,powiat,20,podlaskie,5648.17
342,062013904000,grajewski,968.0,2020,2004,powiat,20,podlaskie,5931.39
343,062013908000,moniecki,1382.0,2020,2008,powiat,20,podlaskie,5445.04
344,062013909000,sejneński,855.0,2020,2009,powiat,20,podlaskie,6052.27
345,062013912000,suwalski,1307.0,2020,2012,powiat,20,podlaskie,6439.46
348,071412912000,miński,1164.0,2020,1412,powiat,14,mazowieckie,6093.65
349,071412917000,otwocki,616.0,2020,1417,powiat,14,mazowieckie,6127.64
350,071412934000,wołomiński,954.0,2020,1434,powiat,14,mazowieckie,5819.55
351,071413005000,grodziski,367.0,2020,1405,powiat,14,mazowieckie,6975.06
352,071413014000,nowodworski,695.0,2020,1414,powiat,14,mazowieckie,6088.29
353,071413018000,piaseczyński,621.0,2020,1418,powiat,14,mazowieckie,6848.5
354,071413021000,pruszkowski,246.0,2020,1421,powiat,14,mazowieckie,6775.03
355,071413032000,warszawski zachodni,534.0,2020,1432,powiat,14,mazowieckie,7351.85
356,071422502000,ciechanowski,1060.0,2020,1402,powiat,14,mazowieckie,5712.77
357,071422513000,mławski,1182.0,2020,1413,powiat,14,mazowieckie,6035.21
358,071422520000,płoński,1380.0,2020,1420,powiat,14,mazowieckie,6021.83
359,071422524000,pułtuski,827.0,2020,1424,powiat,14,mazowieckie,6083.41
360,071422537000,żuromiński,807.0,2020,1437,powiat,14,mazowieckie,5308.24
361,071422611000,makowski,1065.0,2020,1411,powiat,14,mazowieckie,6152.22
35,071422615000,ostrołęcki,2093.0,2020,1415,powiat,14,mazowieckie,6043.28
36,071422616000,ostrowski,1218.0,2020,1416,powiat,14,mazowieckie,5892.07
362,071422622000,przasnyski,1219.0,2020,1422,powiat,14,mazowieckie,6011.65
363,071422635000,wyszkowski,876.0,2020,1435,powiat,14,mazowieckie,5715.09
364,071422661000,Ostrołęka,33.0,2020,1461,miasto na prawach powiatu,14,mazowieckie,7900.27
365,071422701000,białobrzeski,639.0,2020,1401,powiat,14,mazowieckie,6035.91
366,071422707000,kozienicki,916.0,2020,1407,powiat,14,mazowieckie,6386.07
367,071422709000,lipski,740.0,2020,1409,powiat,14,mazowieckie,5476.57
368,071422723000,przysuski,801.0,2020,1423,powiat,14,mazowieckie,5301.3
37,071422725000,radomski,1530.0,2020,1425,powiat,14,mazowieckie,5327.05
369,071422730000,szydłowiecki,452.0,2020,1430,powiat,14,mazowieckie,5031.37
370,071422736000,zwoleński,573.0,2020,1436,powiat,14,mazowieckie,5320.28
371,071422763000,Radom,112.0,2020,1463,miasto na prawach powiatu,14,mazowieckie,7195.44
372,071427004000,gostyniński,615.0,2020,1404,powiat,14,mazowieckie,5133.04
38,071427019000,płocki,1796.0,2020,1419,powiat,14,mazowieckie,5777.23
373,071427027000,sierpecki,852.0,2020,1427,powiat,14,mazowieckie,5604.56
375,071427103000,garwoliński,1285.0,2020,1403,powiat,14,mazowieckie,5824.07
376,071427110000,łosicki,772.0,2020,1410,powiat,14,mazowieckie,5438.25
39,071427126000,siedlecki,1603.0,2020,1426,powiat,14,mazowieckie,5748.01
377,071427129000,sokołowski,1131.0,2020,1429,powiat,14,mazowieckie,5743.59
378,071427133000,węgrowski,1221.0,2020,1433,powiat,14,mazowieckie,5942.15
379,071427328000,sochaczewski,735.0,2020,1428,powiat,14,mazowieckie,5911.03
380,071427338000,żyrardowski,533.0,2020,1438,powiat,14,mazowieckie,6346.93